station_raw,time_to_tokyo_min
東武東上線/下板橋駅,29.0
東急大井町線/二子玉川駅,41.0
東京メトロ銀座線/渋谷駅,19.0
京王競馬場線/東府中駅,60.0
京王井の頭線/池ノ上駅,34.0
日暮里・舎人ライナー/日暮里駅,12.0
東急東横線/中目黒駅,27.0
ＪＲ青梅線/立川駅,48.0
ＪＲ埼京線/赤羽駅,17.0
りんかい線/天王洲アイル駅,18.0
ＪＲ中央線/大久保駅,25.0
東急池上線/戸越銀座駅,32.0
ＪＲ総武線/水道橋駅,10.0
都電荒川線/巣鴨新田駅,30.0
京王線/布田駅,57.0
東京メトロ東西線/飯田橋駅,13.0
都営三田線/板橋区役所前駅,30.0
日暮里・舎人ライナー/熊野前駅,33.0
東急田園都市線/渋谷駅,19.0
ＪＲ山手線/池袋駅,17.0
つくばエクスプレス/南千住駅,22.0
東京メトロ有楽町線/麹町駅,17.0
東京メトロ南北線/飯田橋駅,13.0
東京メトロ半蔵門線/清澄白河駅,15.0
ＪＲ横浜線/長津田駅,54.0
東急田園都市線/長津田駅,54.0
東京メトロ東西線/木場駅,18.0
都営新宿線/東大島駅,25.0
ＪＲ山手線/新大久保駅,23.0
東京メトロ南北線/王子駅,20.0
都電荒川線/王子駅前駅,24.0
ＪＲ京葉線/潮見駅,8.0
東武東上線/東武練馬駅,34.0
ＪＲ常磐線/上野駅,5.0
東京メトロ副都心線/地下鉄赤塚駅,39.0
東急東横線/新丸子駅,42.0
東京メトロ副都心線/渋谷駅,19.0
京王井の頭線/下北沢駅,34.0
小田急線/東北沢駅,33.0
京王線/笹塚駅,28.0
東京メトロ半蔵門線/渋谷駅,19.0
ＪＲ中央線/市ケ谷駅,18.0
ＪＲ埼京線/北赤羽駅,32.0
西武国分寺線/恋ヶ窪駅,50.0
東急世田谷線/若林駅,43.0
ＪＲ京浜東北線/東十条駅,22.0
ＪＲ総武線/荻窪駅,23.0
西武国分寺線/国分寺駅,34.0
西武新宿線/井荻駅,49.0
東急世田谷線/世田谷駅,49.0
東急大井町線/北千束駅,34.0
西武新宿線/都立家政駅,49.0
東急東横線/都立大学駅,38.0
東武伊勢崎線/浅草駅,19.0
ＪＲ京浜東北線/田町駅,9.0
都営浅草線/浅草橋駅,12.0
都電荒川線/栄町駅,704.0
東京メトロ有楽町線/月島駅,15.0
新交通ゆりかもめ/芝浦ふ頭駅,21.0
ＪＲ五日市線/拝島駅,56.0
西武新宿線/武蔵関駅,54.0
西武池袋線/清瀬駅,49.0
ＪＲ武蔵野線/新座駅,59.0
ＪＲ武蔵野線/東所沢駅,63.0
東京モノレール/浜松町駅,7.0
都営新宿線/新宿駅,14.0
京王線/中河原駅,61.0
京王井の頭線/駒場東大前駅,32.0
東急大井町線/九品仏駅,42.0
東京メトロ半蔵門線/住吉駅,17.0
都営新宿線/菊川駅,22.0
都営浅草線/日本橋駅,9.0
東武東上線/中板橋駅,32.0
都営新宿線/住吉駅,17.0
都営新宿線/一之江駅,31.0
東京メトロ有楽町線/飯田橋駅,14.0
都営大江戸線/牛込神楽坂駅,26.0
ＪＲ京浜東北線/蒲田駅,23.0
東急池上線/蒲田駅,23.0
京急空港線/糀谷駅,27.0
東京メトロ丸ノ内線/新宿三丁目駅,17.0
東京メトロ有楽町線/護国寺駅,26.0
東京メトロ千代田線/北千住駅,26.0
東京メトロ千代田線/代々木公園駅,27.0
都営新宿線/瑞江駅,34.0
都営新宿線/篠崎駅,36.0
京急本線/北品川駅,20.0
東急大井町線/等々力駅,44.0
東急大井町線/尾山台駅,44.0
東京メトロ有楽町線/地下鉄成増駅,42.0
東京メトロ半蔵門線/錦糸町駅,8.0
ＪＲ総武線/亀戸駅,17.0
亀29/西葛西六,33.0
都営大江戸線/麻布十番駅,22.0
新交通ゆりかもめ/豊洲駅,19.0
ＪＲ総武線快速/東京駅,
東急大井町線/下神明駅,27.0
ＪＲ中央線/信濃町駅,17.0
東京メトロ丸ノ内線/四ツ谷駅,10.0
都電荒川線/荒川七丁目駅,35.0
ＪＲ総武線/飯田橋駅,14.0
東急池上線/御嶽山駅,40.0
東武東上線/大山駅,30.0
東海道新幹線/品川駅,8.0
葛西２２(葛西駅前-一之江駅前/仲町東組,
葛西２１/東葛西八丁目,
京王井の頭線/三鷹台駅,39.0
都営浅草線/浅草駅,19.0
ＪＲ宇都宮線/上野駅,5.0
ＪＲ八高線/北八王子駅,69.0
都営大江戸線/東新宿駅,29.0
都電荒川線/町屋二丁目駅,34.0
都営大江戸線/森下駅,20.0
京王線/百草園駅,64.0
ＪＲ総武線/錦糸町駅,15.0
都電荒川線/梶原駅,34.0
都営大江戸線/月島駅,16.0
ＪＲ常磐線/亀有駅,34.0
東京メトロ千代田線/北綾瀬駅,34.0
京成本線/お花茶屋駅,32.0
東京メトロ東西線/行徳駅,36.0
東京メトロ東西線/妙典駅,36.0
西武新宿線/東伏見駅,47.0
東京メトロ南北線/王子神谷駅,32.0
東京メトロ有楽町線/豊洲駅,19.0
小田急線/相模大野駅,56.0
東急世田谷線/三軒茶屋駅,25.0
ＪＲ総武線快速/新小岩駅,14.0
京成押上線/押上駅,18.0
ＪＲ総武線/新小岩駅,14.0
京成押上線/京成立石駅,36.0
ＪＲ埼京線/十条駅,28.0
湘南新宿ライン高海/新宿駅,14.0
湘南新宿ライン宇須/大崎駅,17.0
りんかい線/大崎駅,17.0
多摩都市モノレール/甲州街道駅,53.0
京王線/上北沢駅,39.0
京王井の頭線/久我山駅,37.0
都営浅草線/馬込駅,32.0
都営浅草線/中延駅,30.0
京王高尾線/高尾駅,58.0
東京モノレール/天王洲アイル駅,18.0
ＪＲ京浜東北線/品川駅,8.0
東京メトロ東西線/神楽坂駅,21.0
小田急小田原線/相模大野駅,56.0
東急東横線/祐天寺駅,34.0
ＪＲ横浜線/八王子駅,52.0
東京メトロ半蔵門線/押上駅,18.0
東京メトロ東西線/落合駅,26.0
都営浅草線/戸越駅,28.0
東急池上線/石川台駅,43.0
ＪＲ東海道本線/品川駅,8.0
東京メトロ千代田線/綾瀬駅,31.0
小田急線/下北沢駅,33.0
東京メトロ有楽町線/東池袋駅,28.0
東急大井町線/自由が丘駅,39.0
都営浅草線/西馬込駅,34.0
ＪＲ山手線/高田馬場駅,26.0
ＪＲ山手線/目白駅,27.0
亀29/中葛西五,38.0
ＪＲ常磐線/綾瀬駅,31.0
ＪＲ八高線/八王子駅,52.0
京王高尾線/山田駅,918.0
湘南新宿ライン高海/大崎駅,17.0
東京メトロ千代田線/代々木上原駅,27.0
京王線/代田橋駅,29.0
ＪＲ五日市線/東秋留駅,80.0
西武国分寺線/鷹の台駅,52.0
京王線/高幡不動駅,61.0
京王線/八幡山駅,40.0
東急田園都市線/青葉台駅,64.0
東京メトロ東西線/早稲田駅,23.0
東京メトロ副都心線/西早稲田駅,31.0
都電荒川線/面影橋駅,37.0
都営新宿線/西大島駅,21.0
成田スカイアクセス/日暮里駅,12.0
都営大江戸線/都庁前駅,29.0
つくばエクスプレス/青井駅,31.0
京王井の頭線/浜田山駅,44.0
埼玉高速鉄道/赤羽岩淵駅,33.0
小田急線/玉川学園前駅,57.0
都営新宿線/森下駅,16.0
都電荒川線/早稲田駅,23.0
東京メトロ副都心線/雑司が谷駅,34.0
京急本線/新馬場駅,21.0
西武新宿線/上石神井駅,45.0
東急世田谷線/宮の坂駅,46.0
京王高尾線/狭間駅,71.0
小田急多摩線/新百合ヶ丘駅,47.0
多摩都市モノレール/中央大学・明星大学駅,76.0
バス/前野町三丁目,
バス/志村三丁目駅,38.0
ＪＲ南武線/矢川駅,60.0
都営大江戸線/勝どき駅,20.0
つくばエクスプレス/六町駅,31.0
つくばエクスプレス/新御徒町駅,19.0
都電荒川線/飛鳥山駅,39.0
東武伊勢崎線/曳舟駅,28.0
ＪＲ総武線快速/錦糸町駅,15.0
都営浅草線/押上駅,18.0
西武新宿線/沼袋駅,41.0
西武新宿線/小平駅,58.0
西武池袋線/池袋駅,16.0
西武池袋線/椎名町駅,29.0
東急世田谷線/松陰神社前駅,49.0
小田急線/代々木八幡駅,27.0
都営新宿線/市ケ谷駅,15.0
京王高尾線/京王片倉駅,66.0
京王相模原線/南大沢駅,62.0
湘南新宿ライン宇須/赤羽駅,18.0
ＪＲ総武線/東中野駅,27.0
京急本線/立会川駅,28.0
京急本線/京急蒲田駅,24.0
ＪＲ京浜東北線/高輪ゲートウェイ駅,11.0
湘南新宿ライン宇須/西大井駅,16.0
りんかい線/大井町駅,17.0
ＪＲ横浜線/古淵駅,73.0
東急池上線/洗足池駅,41.0
都営大江戸線/牛込柳町駅,25.0
東京メトロ有楽町線/辰巳駅,18.0
ＪＲ京葉線/新木場駅,10.0
西武新宿線/下落合駅,35.0
ＪＲ山手線/代々木駅,21.0
東急大井町線/戸越公園駅,28.0
京王線/平山城址公園駅,67.0
西武拝島線/小平駅,58.0
